English,IPA,Vietnamese
spell,spel,đánh vần; sự thu hút sự quyến rũ say mê
spelling,´speliη,sự viết chính tả
spend,spɛnd,tiêu xài
spice,spais,gia vị
spicy,´spaisi,có gia vị
spider,´spaidə,con nhện
spin,spin,quay quay tròn
spirit,ˈspɪrɪt,tinh thần tâm hồn linh hồn
spiritual,spiritjuəl,(thuộc) tinh thần linh hồn
spite,spait,sự giận sự hận thù; in spite of : mặc dù bất chấp
split,split,chẻ tách chia ra; sự chẻ sự tách sự chia ra
spoil,spɔil,cướp cướp đọat
spoon,spu:n,cái thìa
sport,spɔ:t,thể thao
spot,spɔt,dấu đốm vết
spray,spreɪ,máy ống bình phụt bơm phun; bơm phun xịt
spread,spred,trải căng ra bày ra; truyền bá
spring,sprɪŋ,mùa xuân
square,skweə,vuông vuông vắn; dạng hình vuông hình vuông
squeeze,skwi:z,ép vắt xiết; sự ép sự vắt sự xiết
stable,steibl,ổn định bình tĩnh vững vàng; chuồng ngưa
staff,sta:f,gậy
stage,steɪdʒ,tầng bệ
stair,steə,bậc thang
stamp,stæmp,tem; dán tem
stand,stænd,đứng sự đứng
standard,stændəd,tiêu chuẩn chuẩn mãu; làm tiêu chuẩn phù hợp với tiêu
star,stɑ:,ngôi sao dán sao trang trí hình sao đánh dấu sao
stare,steə(r),nhìm chằm chằm; sự nhìn chằm chằm
start,stɑ:t,bắt đầu khởi động; sự bắt đầu sự khởi đầu khởi hành
state,steit,nhà nước quốc gia chính quyền; (thuộc) nhà nước có liên
statement,steitmənt,sự bày tỏ sự phát biểu; sự tuyên bố sự trình bày
station,steiʃn,trạm điểm đồn
statue,stæt∫u:,tượng
status,ˈsteɪtəs ˈstætəs,tình trạng
stay,stei,ở lại lưu lại; sự ở lại sự lưu lại
steady,stedi,vững chắc vững vàng kiến định
steadily,stedili,vững chắc vững vàng kiên định
unsteady,ʌn´stedi,không chắc không ổn định
steal,sti:l,ăn cắp ăn trộm
steam,stim,hơi nước
steel,sti:l,thép ngành thép
steep,sti:p,dốc dốc đứng
steeply,sti:pli,dốc cheo leo
steer,stiə,lái (tàu ô tô)
step,step,bước; bước bước đi
stick,stick,đâm thọc chọc cắm dính; cái gậy qua củi cán
sticky,stiki,dính nhớt
stiff,stif,cứng cứng rắn kiên quyết
stiffly,stifli,cứng cứng rắn kiên quyết
still,stil,đứng yên; vẫn vẫn còn
sting,stiɳ,châm chích đốt; ngòi vòi (ong muỗi) nọc (rắn); sự châm chích
stir,stə:,khuấy đảo
stock,stə:,kho sự trữ hàng dự trữ vốn
stomach,ˈstʌmək,dạ dày
stone,stoun,đá
stop,stɔp,dừng ngừng nghỉ thôi; sự dừng sự ngừng sự đỗ lại
store,stɔ:,cửa hàng kho hàng; tích trữ cho vào kho
storm,stɔ:m,cơn giông bão
story,stɔ:ri,chuyện câu chuyện
stove,stouv,bếp lò lò sưởi
straight,streɪt,thẳng không cong
strain,strein,sự căng thẳng sự căng
strange,streindʤ,xa lạ chưa quen
strangely,streindʤli,lạ xa lạ chưa quen
stranger,streinʤə,người lạ
strategy,strætəʤɪ,chiến lược
stream,stri:m,dòng suối
street,stri:t,phố đườmg phố
strength,streɳθ,sức mạnh sức khỏe
stressed,strest,bị căng thẳng bị ép bị căng
stretch,strɛtʃ,căng ra duỗi ra kéo dài ra
strict,strikt,nghiêm khắc chặt chẽ khắt khe
strictly,striktli,một cách nghiêm khắc
strike,straik,đánh đập bãi công đình công; cuộc bãi công cuộc đình công
striking,straikiɳ,nổi bật gây ấn tượng
string,strɪŋ,dây sợi dây
strip,strip,cởi lột (quần áo); sự cởi quần áo
stripe,straɪp,sọc vằn viền
striped,straipt,có sọc có vằn
stroke,strouk,cú đánh cú đòn; cái vuốt ve sự vuốt ve; vuốt ve
strong,strɔŋ strɒŋ,khỏe mạnh bền vững chắc chắn
strongly,strɔŋli,khỏe chắc chắn
structure,strʌkt∫ə,kết cấu cấu trúc
struggle,strʌg(ə)l,đấu tranh; cuộc đấu tranh cuộc chiến đấu
student,stju:dnt,sinh viên
studio,´stju:diou,xưởng phim trường quay; phòng thu
study,stʌdi,sự học tập sự nghiên cứu; học tập nghiên cứu
stuff,stʌf,chất liệu chất
stupid,ˈstupɪd ˈstyupɪd,ngu ngốc ngu đần ngớ ngẩn
style,stail,phong cách kiểu mẫu loại
subject,ˈsʌbdʒɪkt,chủ đề đề tài; chủ ngữ
substance,sʌbstəns,chất liệu; bản chất; nội dung
substantial,səb´stænʃəl,thực tế đáng kể quan trọng
substantially,səb´stænʃəli,về thực chất về căn bản
substitute,´sʌbsti¸tju:t,người vật thay thế; thay thế
succeed,sək'si:d,nối tiếp kế tiếp; kế nghiệp kế vị
success,sək'si:d,sự thành công sự thành đạt
successful,səkˈsɛsfəl,thành công thắng lợi thành đạt
successfully,səkˈsɛsfəlli,thành công thắng lợi thành đạt
unsuccessful,¸ʌnsək´sesful,không thành công thất bại
such,sʌtʃ,như thế như vậy như là
suck,sʌk,bú hút; hấp thụ tiếp thu
sudden,sʌdn,thình lình đột ngột
suddenly,sʌdnli,thình lình đột ngột
suffer,sΛfə(r),chịu đựng chịu thiệt hại đau khổ
suffering,sΛfəriŋ,sự đau đớn sự đau khổ
sufficient,sə'fi∫nt,(+ for) đủ thích đáng
sufficiently,sə'fiʃəntli,đủ thích đáng
sugar,ʃugə,đường
suggest,sə'dʤest,đề nghị đề xuất; gợi
suggestion,sə'dʤestʃn,sự đề nghị sự đề xuất sự khêu gợi
suit,su:t,bộ com lê trang phục; thích hợp quen hợp với
suited,´su:tid,hợp phù hợp thích hợp với
suitable,´su:təbl,hợp phù hợp thích hợp với
suitcase,´su:t¸keis,va li
sum,sʌm,tổng toàn bộ
summary,ˈsʌməri,bản tóm tắt
summer,ˈsʌmər,mùa hè
sun,sʌn,mặt trời
Sunday (abbr Su),´sʌndi,Chủ nhật
superior,su:'piəriə(r),cao chất lượng cao
supermarket,´su:pə¸ma:kit,siêu thị
supply,sə'plai,sự cung cấp nguồn cung cấp; cung cấp đáp ứng tiếp tế
support,sə´pɔ:t,sự chống đỡ sự ủng hộ; chống đỡ ủng hộ
supporter,sə´pɔ:tə,vật chống đỡ; người cổ vũ người ủng hộ
suppose,sə'pəƱz,cho rằng tin rằng nghĩ rằng
sure,ʃuə,chắc chắn xác thực
surely,´ʃuəli,chắc chắn
surface,ˈsɜrfɪs,mặt bề mặt
surname (especially BrE),ˈsɜrˌneɪm,họ
surprise,sə'praiz,sự ngạc nhiên sự bất ngờ; làm ngạc nhiên gây bất ngờ
surprising,sə:´praiziη,làm ngạc nhiên làm bất ngờ
surprisingly,sə'praiziηli,làm ngạc nhiên làm bất ngờ
surprised,sə:´praizd,ngạc nhiên (+ at)
surround,sə'raƱnd,vây quanh bao quanh
surrounding,səˈrɑʊdiɳ,sự vây quanh sự bao quanh
surroundings,sə´raundiηz,vùng xung quanh môi trường xung quanh
survey,sə:vei,sự nhìn chung sự khảo sát; quan sát nhìn chung khảo sát
survive,sə'vaivə,sống lâu hơn tiếp tục sống sống sót
suspect,səs´pekt,nghi ngờ hoài nghi; người khả nghi người bị tình nghi
suspicion,səs'pi∫n,sự nghi ngờ sự ngờ vực
suspicious,səs´piʃəs,có sự nghi ngờ tỏ ra nghi ngờ khả nghi
swallow,swɔlou,nuốt nuốt chửng
swear,sweə,chửi rủa nguyền rủa; thề hứa
sweat,swet,mồ hôi; đổ mồ hôi
sweater,swetз,người ra mồ hôi kẻ bóc lột lao động
sweep,swi:p,quét
sweet,swi:t,ngọt có vị ngọt; sự ngọt bùi đồ ngọt
swell,swel,phồng sưng lên
swelling,´sweliη,sự sưng lên sự phồng ra
swollen,´swoulən,sưng phồng phình căng
swim,swim,bơi lội
swimming,´swimiη,sự bơi lội
swing,swiŋ,sự đu đưa lúc lắc; đánh đu đu đưa lúc lắc
switch,switʃ,công tắc roi; tắt bật đánh bằng gậy roi
swollen swell,´swoulən,
symbol,simbl,biểu tượng ký hiệu
sympathetic,¸simpə´θetik,đồng cảm đáng mến dễ thương
sympathy,´simpəθi,sự đồng cảm sự đồng ý
system,sistim,hệ thống chế độ
table,teibl,cái bàn
tablet,tæblit,tấm bản thẻ phiến
tackle,tækl,or
tail,teil,đuôi đoạn cuối
take,teik,sự cầm nắm sự lấy
talk,tɔ:k,nói chuyện trò chuyện; cuộc trò chuyện cuộc thảo luận
tall,tɔ:l,cao
tank,tæŋk,thùng két bể
tap,tæp,mở vòi đóng vồi; vòi khóa
tape,teip,băng băng ghi âm; dải dây
target,ta:git,bia mục tiêu đích
task,tɑːsk,nhiệm vụ nghĩa vụ bài tập công tác công việc
taste,teist,vị vị giác; nếm
tax,tæks,thuế; đánh thuế
taxi,tæksi,xe tắc xi
tea,ti:,cây chè trà chè
teach,ti:tʃ,dạy
teaching,ti:t∫iŋ,sự dạy công việc dạy học
teacher,ti:t∫ə,giáo viên
team,ti:m,đội nhóm
tear ( NAmE ),tiə,xé làm rắch; chỗ rách miếng xe; nước mắt
technical,teknikl,(thuộc) kỹ thuật chuyên môn
technique,tek'ni:k,kỹ sảo kỹ thuật phương pháp kỹ thuật
technology,tek'nɔlədʤi,kỹ thuật học công nghệ học
telephone (also phone),´telefoun,máy điện thoại gọi điện thoại
television (also TV),´televiʒn,vô tuyến truyền hình
tell,tel,nói nói với
temperature,´tempritʃə,nhiệt độ
temporary,ˈtɛmpəˌrɛri,tạm thời nhất thời
temporarily,tempзrзlti,tạm
tend,tend,trông nom chăm sóc giữ gìn hầu hạ
tendency,ˈtɛndənsi,xu hướng chiều hướng khuynh hướng
tension,tenʃn,sự căng độ căng tình trạng căng
tent,tent,lều rạp
term,tɜ:m,giới hạn kỳ hạn khóa kỳ học
terrible,terəbl,khủng khiếp ghê sợ
terribly,terəbli,tồi tệ không chịu nổi
test,test,bài kiểm tra sự thử nghiệm xét nghiệm; kiểm tra xét nghiệm thử
text,tɛkst,nguyên văn bản văn chủ đề đề tì
than,ðæn,hơn
thank,θæŋk,cám ơn
thanks exclamation,θæŋks,sự cảm ơn lời cảm ơn
that,ðæt,người ấy đó vật ấy đó; rằng là
the definite article,ði: ði ðз,cái con người ấy này
theatre (BrE) (NAmE theater),ˈθiətər,rạp hát nhà hát
their,ðea(r),của chúng của chúng nó của họ
theirs,ðeəz,của chúng của chúng nó của họ
them,ðem,chúng chúng nó họ
theme,θi:m,đề tài chủ đề
themselves,ðəm'selvz,tự chúng tự họ tự
then,ðen,khi đó lúc đó tiếp đó
theory,θiəri,lý thuyết học thuyết
there,ðeз,ở nơi đó tại nơi đó
therefore,ðeəfɔ:(r),bởi vậy cho nên vì thế
they,ðei,chúng chúng nó họ; những cái ấy
thick,θik,dày; đậm
thickly,θikli,dày; dày đặc; thành lớp dày
thickness,´θiknis,tính chất dày độ dày bề dày
thief,θi:f,kẻ trộm kẻ cắp
thin,θin,mỏng mảnh
thing,θiŋ,cái đồ vật
think,θiŋk,nghĩ suy nghĩ
thinking,θiŋkiŋ,sự suy nghĩ ý nghĩ
thirsty,´θə:sti,khát cảm thấy khát
this,ðis,cái này điều này việc này
thorough,θʌrə,cẩn thận kỹ lưỡng
thoroughly,θʌrəli,kỹ lưỡng thấu đáo triệt để
though,ðəʊ,dù dù cho mặc dù; mặc dù tuy nhiên tuy vậy
thought,θɔ:t,sự suy nghĩ khả năng suy nghĩ; ý nghĩ tư tưởng tư duy
thread,θred,chỉ sợi chỉ sợi dây
threat,θrɛt,sự đe dọa lời đe dọa
threaten,θretn,dọa đe dọa
threatening,´θretəniη,sự đe dọa sự hăm dọa
throat,θrout,cổ cổ họng
through,θru:,qua xuyên qua
throughout,θru:'aut,khắp suốt
throw,θrou,ném vứt quăng
thumb,θʌm,ngón tay cái
Thursday (abbr Thur Thurs),´θə:zdi,thứ 5
thus,ðʌs,như vậy như thế do đó
ticket,tikit,vé
tidy,´taidi,sạch sẽ ngăn nắp gọn gàng; làm cho sạch sẽ gọn gàng ngăn nắp
untidy,ʌn´taidi,không gọn gàng không ngăn nắp lộn xộn
tie,tai,buộc cột trói; dây buộc daay trói dây giày
tight,tait,kín chặt chật
tightly,taitli,chặc chẽ sít sao
till until,til,cho đến khi tới lúc mà
time,taim,thời gian thì giờ
timetable (especially BrE),´taimteibl,kế hoạch làm việc thời gian biểu
tin,tɪn,thiếc
tiny,taini,rất nhỏ nhỏ xíu
tip,tip,đầu mút đỉnh chóp; bịt đầu lắp đầu vào
tire (BrE NAmE) (NAmE) (BrE tyre,taiз,)
tiring,´taiəriη,sự mệt mỏi sự mệt nhọc
tired,taɪəd,mệt muốn ngủ nhàm chán
title,ˈtaɪtl,đầu đề tiêu đề; tước vị tư cách
to infinitive marker,tu: tu tз,theo hướng tới
today,tə'dei,vào ngày này; hôm nay ngày nay
toe,tou,ngón chân (người)
together,tə'geðə,cùng nhau cùng với
toilet,´tɔilit,nhà vệ sinh; sự trang điểm (rửa mặt ăn mặc chải tóc)
tomato,tə´ma:tou,cà chua
tomorrow,tə'mɔrou,vào ngày mai; ngày mai
ton,tΔn,tấn
tone,toun,tiếng giọng
tongue,tʌη,lưỡi
tonight,tə´nait,vào đêm nay vào tối nay; đêm nay tối nay
tonne,tʌn,tấn
too,tu:,cũng
tool,tu:l,dụng cụ đồ dùng
tooth,tu:θ,răng
top,tɒp,chóp đỉnh; đứng đầu trên hết
topic,ˈtɒpɪk,đề tài chủ đề
total,toutl,tổng cộng toàn bộ; tổng số toàn bộ số lượng
totally,toutli,hoàn toàn
touch,tʌtʃ,sờ mó tiếp xúc; sự sờ sự mó sự tiếp xúc
tough,tʌf,chắc bền dai
tour,tuə,cuộc đo du lịch cuộc đi dạo chuyến du lịch; đi du lịch
tourist,tuərist,khách du lịch
towards (also toward especially in NAmE),tə´wɔ:dz,theo hướng về hướng
towel,taʊəl,khăn tắm khăn lau
tower,tauə,tháp
town,taun,thị trấn thị xã thành phố nhỏ
toy,tɔi,đồ chơi đồ trang trí; thể loại đồ chơi
trace,treis,phát hiện tìm thấy vạch chỉ ra phác họa; dấu vết một chút
track,træk,phần của đĩa; đường mòn đường đua
trade,treid,thương mại buôn bán; buôn bán trao đổi
trading,treidiη,sự kinh doanh việc mua bán
tradition,trə´diʃən,truyền thống
traditional,trə´diʃənəl,theo truyền thống theo lối cổ
traditionally,trə´diʃənəlli,(thuộc) truyền thống là truyền thống
traffic,træfik,sự đi lại sự giao thông sự chuyển động
train,trein,xe lửa tàu hỏa; dạy rèn luyện đào tạo
training,trainiŋ,sự dạy dỗ sự huấn luyện sự đào tạo
transfer,trænsfə:,dời di chuyển; sự di chuyển sự dời chỗ
transform,træns'fɔ:m,thay đổi biến đổi
translate,træns´leit,dịch biên dịch phiên dịch
translation,træns'leiʃn,sự dịch
transparent,træns´pærənt,trong suốt; dễ hiểu sáng sủa
transport (BrE) (NAmE transportation),trænspɔ:t,sự vận chuyển sự vận tải;
trap,træp,đồ đạc hành lý; bẫy cạm bãy; bẫy giữ chặn lại
travel,trævl,đi lại đi du lịch di chuyển; sự đi những chuyến đi
traveller (BrE) (NAmE traveler),trævlə,người đi lữ khách
treat,tri:t,đối xử đối đãi cư xử
treatment,tri:tmənt,sự đối xử sự cư xử
tree,tri:,cây
trend,trend,phương hướng xu hướng chiều hướng
trial,traiəl,sự thử nghiệm cuộc thử nghiệm
triangle,´trai¸æηgl,hình tam giác
trick,trik,mưu mẹo thủ đoạn trò lừa gatj; lừa lừa gạt
trip,trip,cuộc dạo chơi cuộc du ngoạn; đi dạo du ngoạn
tropical,´trɔpikəl,nhiệt đới
trouble,trʌbl,điều lo lắng điều muộn phiền
trousers (especially BrE),´trauzə:z,quần
truck (especially NAmE),trʌk,rau quả tươi
TRUE,tru:,đúng thật
truly,tru:li,đúng sự thật đích thực thực sự
trust,trʌst,niềm tin sự phó thác; tin tin cậy phó thác
truth,tru:θ,sự thật
try,trai,thử cố gắng
tube,tju:b,ống tuýp
Tuesday (abbr Tue Tues),´tju:zdi,thứ 3
tune,tun tyun,điệu giai điệu; lên dây so dây (đàn)
tunnel,tʌnl,đường hầm hang
turn,tə:n,quay xoay vặn; sự quay vòng quay
twice,twaɪs,hai lần
twin,twɪn,sinh đôi tạo thành cặp; cặp song sinh
twist,twist,xoắn cuộn quắn; sự xoắn vòng xoắn
twisted,twistid,được xoắn được cuộn
type,taip,loại kiểu mẫu; phân loại xếp loại
typical,´tipikəl,tiêu biểu điển hình đặc trưng
typically,´tipikəlli,điển hình tiêu biểu
tyre (BrE) (NAmE tire),taiз,lốp vỏ xe
ugly,ʌgli,xấu xí xấu xa
ultimate,ˈʌltəmɪt,cuối cùng sau cùng
ultimately,´ʌltimətli,cuối cùng sau cùng
umbrella,ʌm'brelə,ô dù
unable able,ʌn´eibl,không thể không có khẳ năng (# có thể)
unacceptable acceptable,¸ʌnək´septəbl,không thể chấp nhận
uncertain certain,ʌn'sə:tn,không chắc chắn khôn biết rõ ràng
uncle,ʌηkl,chú bác
uncomfortable comfortable,ʌη´kʌmfətəbl,bất tiện không tiện lợi
unconscious conscious,ʌn'kɔnʃəs,bất tỉnh ngất đi
uncontrolled control,ʌnkən'trould,không bị kiềm chế không bị kiểm tra
under,ʌndə,dưới ở dưới; ở phía dưới về phía dưới
underground,ʌndəgraund,dưới mặt đất ngầm dưới đất; ngầm
underneath,¸ʌndə´ni:θ,dưới bên dưới
understand,ʌndə'stænd,hiểu nhận thức
understanding,ˌʌndərˈstændɪŋ,trí tuệ sự hiểu biết
underwater,´ʌndə¸wɔtə,ở dưới mặt nước dưới mặt nước
underwear,ʌndəweə,quần lót
undo do,ʌn´du:,tháo gỡ xóa hủy bỏ
unemployed employ,¸ʌnim´plɔid,không dùng thất nghiệp
unemployment employment,Δnim'ploimзnt,sự thất nghiệp tình trạng thất nghiệp
unexpected unexpectedly expect,¸ʌniks´pektid,bất ngờ đột ngột gây ngạc nhiên
unfair unfairly fair,ʌn´fɛə,không đúng không công bằng gian lận
unfortunate,Λnfo:'t∫əneit,không may rủi ro bất hạnh
unfortunately,ʌn´fɔ:tʃənətli,một cách đáng tiếc một cách không may
unfriendly friendly,ʌn´frendli,đối địch không thân thiện
unhappiness happiness,ʌn´hæpinis,sự buồn nỗi buồn
unhappy happy,ʌn´hæpi,buồn rầu khổ sở
uniform,ˈjunəˌfɔrm,đồng phục; đều giống nhau đồng dạng
unimportant important,¸ʌnim´pɔ:tənt,không quan trọng
union,ju:njən,liên hiệp sự đoàn kết sự hiệp nhất
unique,ju:´ni:k,độc nhất vô nhị
unit,ju:nit,đơn vị
unite,ju:´nait,liên kết hợp nhất hợp lại kết thân
united,ju:'naitid,liên minh đoàn kết chung thống nhất
universe,ju:nivə:s,vũ trụ
university,¸ju:ni´və:siti,trường đại học
unkind kind,ʌn´kaind,không tử tế không tốt
unknown know,ʌn'noun,không biết không được nhận ra
unless,ʌn´les,trừ phi trừ khi nếu không
unlike like,ʌn´laik,không giống khác
unlikely likely,ʌnˈlaɪkli,không có thể xảy ra không chắc chắn; không có thực
unload load,ʌn´loud,tháo dỡ
unlucky lucky,ʌn´lʌki,không gặp may không may mắn
unnecessary necessary,ʌn'nesisəri,không cần thiết không mong muốn
unpleasant pleasant,ʌn'plezənt,không dễ chịu khó chịu
unreasonable reasonable,ʌnˈrizənəbəl,vô lý vượt quá giới hạn của cái hợp lý
unsteady steady,ʌn´stedi,không đúng mực không vững không chắc
unsuccessful successful,¸ʌnsək´sesful,không thành công không thành đạt
untidy tidy,ʌn´taidi,không gọn gàng không ngăn nắp lộn xộn
until (also till),ʌn´til,trước khi cho đến khi
unusual unusually usual,ʌn´ju:ʒuəl,hiếm khác thường
unwilling unwillingly willing,ʌn´wiliη,không muốn không có ý định
up,Λp,ở trên lên trên lên
upon,ə´pɔn,trên ở trên
upper,´ʌpə,cao hơn
upset,ʌpˈsɛt,làm đổ đánh đổ
upsetting,ʌp´setiη,tính đánh đổ làm đổ
upside down,´ʌp¸said,lộn ngược
upstairs,´ʌp´stɛəz,ở tên gác cư ngụ ở tầng gác; tầng trên gác
upward,ʌpwəd,lên hướng lên đi lên
urban,ˈɜrbən,(thuộc) thành phố khu vực
urge,ə:dʒ,thúc giục giục giã; sự thúc đẩy sự thôi thúc
urgent,ˈɜrdʒənt,gấp khẩn cấp
us,ʌs,chúng tôi chúng ta; tôi và anh
use,ju:s,sử dụng dùng; sự dùng sự sử dụng
used,ju:st,đã dùng đã sử dụng
useful,´ju:sful,hữu ích giúp ích
useless,ju:slis,vô ích vô dụng
user,´ju:zə,người dùng người sử dụng
usual,ju:ʒl,thông thường thường dùng
usually,ju:ʒəli,thường thường
unusual,ʌn´ju:ʒuəl,hiếm khác thường đáng chú ý
unusually,ʌn´ju:ʒuəlli,cực kỳ khác thường
vacation,və'kei∫n,kỳ nghỉ hè kỳ nghỉ lễ; ngày nghỉ ngày lễ
valid,vælɪd,chắc chắn hiệu quả hợp lý
valley,væli,thung lũng
valuable,væljuəbl,có giá trị lớn đáng giá
value,vælju:,giá trị ước tính định giá
van,væn,tiền đội quân tiên phong; xe tải
variation,¸veəri´eiʃən,sự biến đổi sự thay đổi mức độ sự khác nhau
variety,və'raiəti,sự đa dạng trạng thái khác nhau
various,veriəs,khác nhau thuộc về nhiều loại
vary,veəri,thay đổi làm cho khác nhau biến đổi
varied,veərid,thuộc nhiều loại khác nhau những vẻ đa dạng
vast,vɑ:st,rộng lớn mênh mông
vegetable,ˈvɛdʒtəbəl ˈvɛdʒɪtəbəl,rau thực vật
vehicle,vi:hikl,xe cộ
venture,ventʃə,sự án kinh doanh công việc kinh doanh; liều mạo hiểm cả
version,və:∫n,bản dịch sang một ngôn ngữ khác
vertical,ˈvɜrtɪkəl,thẳng đứng đứng
very,veri,rất lắm
via,vaiə,qua theo đường
victim,viktim,nạn nhân
victory,viktəri,chiến thắng
video,vidiou,video
view,vju:,sự nhìn tầm nhìn; nhìn thấy xem quan sát
village,ˈvɪlɪdʒ,làng xã
violence,ˈvaɪələns,sự ác liệt sự dữ dội; bạo lực
violent,vaiələnt,mãnh liệt mạnh mẽ hung dữ
violently,vaiзlзntli,mãnh liệt dữ dội
virtually,və:tjuəli,thực sự hầu như gần như
virus,vaiərəs,vi rút
visible,vizəbl,hữu hình thấy được
vision,viʒn,sự nhìn thị lực
visit,vizun,đi thăm hỏi đến chơi tham quan; sự đi thăm sự thăm viếng
visitor,vizitə,khách du khách
vital,vaitl,(thuộc) sự sống cần cho sự sống
vocabulary,və´kæbjuləri,từ vựng
voice,vɔis,tiếng giọng nói
volume,´vɔlju:m,thế tích quyển tập
vote,voʊt,sự bỏ phiếu sự bầu cử; bỏ phiếu bầu cử
wage,weiʤ,tiền lương tiền công
waist,weist,eo chỗ thắt lưng
wait,weit,chờ đợi
waiter waitress,weitə,người hầu bàn người đợi người trông chờ
wake (up),weik,thức dậy tỉnh thức
walk,wɔ:k,đi đi bộ; sự đi bộ sự đi dạo
walking,wɔ:kiɳ,sự đi sự đi bộ
wall,wɔ:l,tường vách
wallet,wolit,cái ví
wander,wɔndə,đi lang thang; sự đi lang thang
want,wɔnt,muốn
war,wɔ:,chiến tranh
warm,wɔ:m,ấm ấm áp; làm cho nóng hâm nóng
warmth,wɔ:mθ,trạng thái ấm sự ấm áp; hơi ấm
warn,wɔ:n,báo cho biết cảnh báo
warning,wɔ:niɳ,sự báo trước lời cảnh báo
wash,wɒʃ wɔʃ,rửa giặt
washing,wɔʃiɳ,sự tắm rửa sự giặt
waste,weɪst,lãng phí uổng phí; vùng hoang vu sa mạc; bỏ hoang
watch,wɔtʃ,nhìn theo dõi quan sát; sự canh gác sự canh phòng
water,wɔ:tə,nước
wave,weɪv,sóng gợn nước; gợn sóng uốn thành sóng
way,wei,đường đường đi
we,wi:,chúng tôi chúng ta
weak,wi:k,yếu yếu ớt
weakness,´wi:knis,tình trạng yếu đuối yếu ớt
wealth,welθ,sự giàu có sự giàu sang
weapon,wepən,vũ khí
wear,weə,mặc mang đeo
weather,weθə,thời tiết
web,wɛb,mạng lưới
wedding,ˈwɛdɪŋ,lễ cưới hôn lễ
Wednesday (abbr Wed Weds),´wensdei,thứ 4
week,wi:k,tuần tuần lễ
weekend,¸wi:k´end,cuối tuần
weekly,´wi:kli,mỗi tuần một lần hàng tuần
weigh,wei,cân cân nặng
weight,weit,trọng lượng
welcome exclamation,welkʌm,chào mừng hoan nghênh
well exclamation,wel,tốt giỏi; ôi may quá!
west,west,phía Tây theo phía tây về hướng tây
western,westn,về phía tây của phía tây
wet,wɛt,ướt ẩm ướt
what,wʌt,gì thế nào
whatever,wɔt´evə,bất cứ thứ gì bất kể thứ gì
wheel,wil,bánh xe
when,wen,khi lúc vào lúc nào
whenever,wen'evə,bất cứ lúc nào lúc nào
where,weər,đâu ở đâu; nơi mà
whereas,weə'ræz,nhưng ngược lại trong khi
wherever,weər'evə(r),ở bất cứ nơi nào ở bất cứ nơi đâu
whether,´weðə,cókhông; có chăng; không biết có không
which,witʃ,nào bất cứ nào; ấy đó
while,wail,trong lúc trong khi; lúc chốc lát
whilst (especially BrE),wailst,trong lúc trong khi
whisper,´wispə,nói thì thầm xì xào; tiếng nói thì thầm tiếng xì xào
whistle,wisl,sự huýt sáo sự thổi còi; huýt sáo thổi còi
white,wai:t,trắng; màu trắng
who,hu:,ai người nào kẻ nào người như thế nào
whoever,hu:'ev,ai người nào bất cứ ai bất cứ người nào dù ai
whole,həʊl,bình an vô sự không suy suyển không hư hỏng; toàn bộ tất cả
whom,hu:m,ai người nào; người mà
whose,hu:z,của ai
why,wai,tại sao vì sao
wide,waid,rộng rộng lớn
widely,´waidli,nhiều xa; rộng rãi
width,wɪdθ; wɪtθ,tính chất rộng bề rộng
wife,waif,vợ
wild,waɪld,dại hoang
wildly,waɪldli,dại hoang
will modal,wil,sẽ; ý chí ý định
willing,´wiliη,bằng lòng vui lòng muốn
willingly,wiliηli,sẵn lòng tự nguyện
unwilling,ʌn´wiliη,không sẵn lòng miễn cưỡng
unwillingly,ʌn´wiliηgli,không sẵn lòng miễn cưỡng
willingness,´wiliηnis,sự bằng lòng sự vui lòng
win,win,chiếm đọat thu được
winning,´winiη,đang dành thắng lợi thắng cuộc
wind,wind,quấn lại cuộn lại
wind,wind,gió
window,windəʊ,cửa sổ
wine,wain,rượu đồ uống
wing,wiη,cánh sự bay sự cất cánh
winner,winər,người thắng cuộc
winter,ˈwɪntər,mùa đông
wire,waiə,dây (kim loại)
wise,waiz,khôn ngoan sáng suốt thông thái
.,wi∫,ước mong muốn; sự mong ước lòng mong muốn
with,wið,với cùng
withdraw,wɪðˈdrɔ wɪθˈdrɔ,rút rút khỏi rút lui
within,wið´in,trong vong thời gian trong khoảng thời gian
without,wɪðˈaʊt wɪθaʊt,không không có
witness,witnis,sự làm chứng bằng chứng; chứng kiến làm chứng
woman,wʊmən,đàn bà phụ nữ
wonder,wʌndə,ngạc nhiên lấy làm lạ kinh ngạc
wonderful,´wʌndəful,phi thường khác thường kỳ diệu tuyệt vời
wood,wud,gỗ
wooden,´wudən,làm bằng gỗ
wool,wul,len
word,wə:d,từ
work,wɜ:k,làm việc sự làm việc
working,´wə:kiη,sự làm sự làm việc
worker,wə:kə,người lao động
world,wɜ:ld,thế giới
worry,wʌri,lo lắng suy nghĩ; sự lo lắng suy nghĩ
worrying,´wʌriiη,gấy lo lắng gây lo nghĩ
worried,´wʌrid,bồn chồn lo nghĩ tỏ ra lo lắng
worship,ˈwɜrʃɪp,sự tôn thờ sự tôn sùng; thờ thờ phụng tôn thờ
worth,wɜrθ,đáng giá có giá trị
wound,waund,vết thương thương tích; làm bị thường gây thương tích
wounded,wu:ndid,bị thương
wrap,ræp,gói bọc quấn
wrapping,ræpiɳ,vật bao bọc vật quấn quanh
wrist,rist,cổ tay
write,rait,viết
